"set" "ID" "activity" "feature" "mean"
"1" "test" 2 "LAYING" "tBodyAcc-mean()-X" 0.281373403958333
"2" "test" 2 "LAYING" "tBodyAcc-mean()-Y" -0.0181587397583333
"3" "test" 2 "LAYING" "tBodyAcc-mean()-Z" -0.107245610416667
"4" "test" 2 "LAYING" "tGravityAcc-mean()-X" -0.509754238125
"5" "test" 2 "LAYING" "tGravityAcc-mean()-Y" 0.752536639375
"6" "test" 2 "LAYING" "tGravityAcc-mean()-Z" 0.646834879583333
"7" "test" 2 "LAYING" "tBodyAccJerk-mean()-X" 0.0825972511666667
"8" "test" 2 "LAYING" "tBodyAccJerk-mean()-Y" 0.012254788451875
"9" "test" 2 "LAYING" "tBodyAccJerk-mean()-Z" -0.00180264895625
"10" "test" 2 "LAYING" "tBodyGyro-mean()-X" -0.01847660675
"11" "test" 2 "LAYING" "tBodyGyro-mean()-Y" -0.111800824583333
"12" "test" 2 "LAYING" "tBodyGyro-mean()-Z" 0.144882846104167
"13" "test" 2 "LAYING" "tBodyGyroJerk-mean()-X" -0.101974134208333
"14" "test" 2 "LAYING" "tBodyGyroJerk-mean()-Y" -0.0358590176083333
"15" "test" 2 "LAYING" "tBodyGyroJerk-mean()-Z" -0.0701783020833333
"16" "test" 2 "LAYING" "tBodyAccMag-mean()" -0.977435485208333
"17" "test" 2 "LAYING" "tGravityAccMag-mean()" -0.977435485208333
"18" "test" 2 "LAYING" "tBodyAccJerkMag-mean()" -0.987741696041667
"19" "test" 2 "LAYING" "tBodyGyroMag-mean()" -0.950011569583333
"20" "test" 2 "LAYING" "tBodyGyroJerkMag-mean()" -0.991767074166667
"21" "test" 2 "LAYING" "fBodyAcc-mean()-X" -0.976725059791667
"22" "test" 2 "LAYING" "fBodyAcc-mean()-Y" -0.979800877916667
"23" "test" 2 "LAYING" "fBodyAcc-mean()-Z" -0.984380981875
"24" "test" 2 "LAYING" "fBodyAcc-meanFreq()-X" -0.146482792591667
"25" "test" 2 "LAYING" "fBodyAcc-meanFreq()-Y" 0.2572894655
"26" "test" 2 "LAYING" "fBodyAcc-meanFreq()-Z" 0.402532553395833
"27" "test" 2 "LAYING" "fBodyAccJerk-mean()-X" -0.985813630833333
"28" "test" 2 "LAYING" "fBodyAccJerk-mean()-Y" -0.982768250416667
"29" "test" 2 "LAYING" "fBodyAccJerk-mean()-Z" -0.986197134583333
"30" "test" 2 "LAYING" "fBodyAccJerk-meanFreq()-X" 0.159808328563875
"31" "test" 2 "LAYING" "fBodyAccJerk-meanFreq()-Y" 0.1212064240125
"32" "test" 2 "LAYING" "fBodyAccJerk-meanFreq()-Z" 0.190558218145833
"33" "test" 2 "LAYING" "fBodyGyro-mean()-X" -0.9864311425
"34" "test" 2 "LAYING" "fBodyGyro-mean()-Y" -0.983321635416667
"35" "test" 2 "LAYING" "fBodyGyro-mean()-Z" -0.9626718875
"36" "test" 2 "LAYING" "fBodyGyro-meanFreq()-X" 0.10261131938125
"37" "test" 2 "LAYING" "fBodyGyro-meanFreq()-Y" 0.04228066839375
"38" "test" 2 "LAYING" "fBodyGyro-meanFreq()-Z" 0.0552985986479167
"39" "test" 2 "LAYING" "fBodyAccMag-mean()" -0.975110196458333
"40" "test" 2 "LAYING" "fBodyAccMag-meanFreq()" 0.2662982125
"41" "test" 2 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.985374114791667
"42" "test" 2 "LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.3417585745
"43" "test" 2 "LAYING" "fBodyBodyGyroMag-mean()" -0.972112972708333
"44" "test" 2 "LAYING" "fBodyBodyGyroMag-meanFreq()" 0.01856447223125
"45" "test" 2 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.990248702291667
"46" "test" 2 "LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.264801505395833
"47" "test" 2 "LAYING" "tBodyAcc-std()-X" -0.974059464791667
"48" "test" 2 "LAYING" "tBodyAcc-std()-Y" -0.98027739875
"49" "test" 2 "LAYING" "tBodyAcc-std()-Z" -0.984233296875
